Number,Sentence
1,셰익스피어/NNP 에/JKB 대하__02/VV ᆫ/ETM 전기__12/NNG 는/JX 구구/XR 하/XSA 다/EF ./SF
2,Merton/SL )/SS 에/JKB 의하/VV 아/EC 제기__06/NNG 되/XSV 었/EP 다/EF ./SF
3,그러나/MAJ 우리/NP 는/JX 늘/MAG 가난__01/NNG 에/JKB 쫓기/VV 고/EC 있/VX 었/EP 다/EF ./SF
4,1802/SN 년__02/NNB ,/SP 돌턴/NNP 에/JKB 의하/VV 아/EC 제창__04/NNG 되/XSV 었/EP 다/EF ./SF
5,그리고/MAJ 만돌이/NNP 가/JKS 경찰__04/NNG 에/JKB 맞__03/VV 은/ETM 것/NNB 이/VCP ᆯ까/EF ./SF
6,그만큼/MAG 구설수/NNG 에/JKB 시달리/VV 기/ETN 도/JX 하/VX 았/EP 다/EF ./SF
7,디드로/NNP 와/JC 달랑베르/NNP 에/JKB 의하/VV 아/EC 1751/SN 년__02/NNB 부터/JX
8,교원__03/NNG 들/XSN 에/JKB '/SS 뭇매/NNG '/SS 맞__03/VV 은/ETM 교육/NNG 정책__02/NNG
9,주로/MAG 하층/NNG 계급__02/NNG 에/JKB 의하/VV 아/EC 발생/NNG 하/XSV ᆫ다/EF ./SF
10,컴퓨터/NNG 프로그램/NNG 이/JKS 저작__03/NNG 권/XSN 에/JKB 의하/VV 아/EC 보호__01/NNG 되/XSV 는/ETM 범위/NNG
11,무엇/NP 이/JKS 눈__01/NNG 에/JKB 띄/VV 었/EP 을까/EF ?/SF
12,부산/NNP 대구/NNP 인천/NNP 차량__01/NNG 도/JX 눈__01/NNG 에/JKB 띄__01/VV 었/EP 다/EF ./SF
13,그래서/MAJ 논리/NNG 의/JKG 비약/NNG 도/JX 눈__01/NNG 에/JKB 뜨이__02/VV ᆫ다/EF ./SF
14,약국__02/NNG 이/JKS 그/NP 의/JKG 시선__03/NNG 에/JKB 걸리__01/VV 었/EP 다/EF ./SF
15,아무/NP 도/JX 눈__01/NNG 에/JKB 띄__01/VV 지/EC 않/VX 았/EP 다/EF ./SF
16,비로소/MAG 남편__01/NNG 의/JKG 신음__01/NNG 소리/NNG 가/JKS 귀__01/NNG 에/JKB 들려오/VV 았/EP 다/EF ./SF
17,"/SS 저쪽/NP 에/JKB 트집/NNG 잡히__02/VV 지/EC 않/VX 겠/EP 어/EF ?/SF "/SS
18,그러나/MAJ 유일이/NNP 는/JX 그것/NP 에/JKB 치이__02/VV 고/EC 말/VX 았/EP 다/EF ./SF
