Number,Sentence
1,그러자/MAJ 위__01/NNG 에서/JKB 는/JX 버럭/MAG 고함__01/NNG 이/JKS 터지/VV 었/EP 다/EF ./SF
2,그것/NP 이/JKS 지금__03/MAG 이/MM 시대__02/NNG 에서/JKB 무엇/NP ᆯ/JKO 뜻/NNG 하/XSV 는지/EC 알/VV 아/EF ?/SF
3,우리/NP 공동체/NNG 마을__01/NNG 아이__01/NNG 들/XSN 이/JKS 학교/NNG 에서/JKB 공부__01/NNG 하/XSV 는/ETM 시간__04/NNG 은/JX 아주/MAG 적/VA 다/EF ./SF
4,한/MM 청소년/NNG 이/JKS 사이코드라마/NNG 에서/JKB 이런/MM 대사__17/NNG 를/JKO 하/VV 았/EP 다/EF ./SF
5,창밖/NNG 에서/JKB ᆫ/JX 고요히/MAG 눈__04/NNG 이/JKS 내리/VV 고/EC 있/VX 었/EP 다/EF ./SF
6,공기__06/NNG 중__04/NNB 에서/JKB 는/JX 표면/NNG 이/JKS 산화__06/NNG 되/XSV 어/EC 회백색/NNG 피막/NNG 을/JKO 만들/VV ᆫ다/EF ./SF
7,4/SN 일/NNB 증시__88/NNG 에서/JKB ᆫ/JX 반도체/NNG 주__24/NNG 들/XSN 의/JKG 약진__04/NNG 이/JKS 돋보이/VV 었/EP 다/EF ./SF
8,이것/NP 들/XSN 이/JKS 전국__03/NNG 도처/NNG 에서/JKB 굴러다니/VV 다/EC 보/VX 니/EC 차량__01/NNG 사고__12/NNG 가/JKS 빈발__01/NNG 하/XSV ᆫ다/EF ./SF
9,마침내/MAG 경화/NNP 의/JKG 입/NNG 에서/JKB 말문__01/NNG 이/JKS 터지/VV 었/EP 다/EF ./SF
10,문법__01/NNG 이/JKS 시험__03/NNG 에서/JKB 차지__01/NNG 하/XSV 는/ETM 비중/NNG 은/JX 20/SN %/SW 정도__11/NNG 되__01/VV ᆫ다/EF ./SF
11,한국/NNP 시리즈/NNG 에서/JKB 타격/NNG 이/JKS 너무/MAG 부진__01/NNG 하/XSA 니까/EC 남__01/NNG 들/XSN 보__01/VV 기/ETN 창피/NNG 하/XSA 다며/EC )/SS
12,구름__01/NNG 뒤__01/NNG 에서/JKB 태양__02/NNG 이/JKS 비치__01/VV 도록/EC 하/VX 아/EC 주/VX 시/EP 어요/EF ./SF
13,대중__02/NNG 적/XSN 차원__01/NNG 에서/JKB 생명/NNG 이/JKS ,/SP 생기__01/NNG 가/JKS 흐르__01/VV 게/EC 하/VX 아야/EC 하/VX ᆫ다/EF ./SF
14,불펜/NNG 에서/JKB 는/JX 전승남/NNP 이/JKS 몸__01/NNG 을/JKO 풀/VV 고/EC 있/VX 었/EP 다/EF ./SF
15,뱀/NNG 이/JKS 바로/MAG 앞/NNG 에서/JKB 도망__02/NNG 을/JKO 가/VV 고/EC 있/VX 었/EP 습니다/EF ./SF
