Number,Sentence
1,이__05/MM 넥타이/NNG 는/JX 수제품/NNG (으)로/JKB 우리나라/NNG 에서/JKB 는/JX 하나/NR 밖에/JX 없/VA 습니다/EF ./SF
2,모든/MM 주장__03/NNG 이/JKS 나름/NNB 대로/JKB 의/JKG 근거/NNG 를/JKO 갖추/VV 고/EC 있/VX 다/EF ./SF
3,멍멍/XR 하/XSA ᆫ/ETM 채__09/NNB (으)로/JKB 시간__04/NNG 이/JKS 흘러가/VV 았/EP 다/EF ./SF
4,만찬/NNG 시/NNB 에/JKB 는/JX 반주__08/NNG (으)로/JKB 마주앙/NNG 이/JKS 나오/VV ᆫ다/EF ./SF
5,아내__01/NNG 의/JKG 얼굴/NNG 이/JKS 절망__02/NNG 적/XSN (으)로/JKB 굳어지/VV 고/EC 있/VX 었/EP 다/EF ./SF
6,그러나/MAJ 어머니/NNG 의/JKG 교회__02/NNG 행__x07/NNG 은/JX 그것/NP (으)로/JKB 끝/NNG 이/JKS 나/VV 았/EP 다/EF ./SF
7,그/MM 사실__04/NNG 이/JKS 진정__05/NNG (으)로/JKB 나/NP 는/JX 기쁘/VA 었/EP 다/EF ./SF
8,이런/MM 녀석/NNB 은/JX 진짜/NNG (으)로/JKB 혼__02/NNG 이/JKS 나/VV 아야/EC 하/VX 아/EF ./SF
9,둘/NR 이/JKS 말없이/MAG 그런/MM 상태__01/NNG (으)로/JKB 한참/NNG 동안__01/NNG 앉/VV 아/EC 있/VX 었/EP 다/EF ./SF
10,처음/NNG (으)로/JKB 바깥/NNG 풍경__01/NNG 이/JKS 눈__01/NNG 에/JKB 들어오/VV 았/EP 다/EF ./SF
11,인간__01/NNG 이/JKS 갑작스레/MAG 앙골라/NNP 토끼/NNG (으)로/JKB 변하/VV 았/EP 기/ETN 때문/NNB 은/JX 아니/VCN 다/EF ./SF
12,정직__01/NNG 하/XSA ᆫ/ETM 계산__01/NNG 과/JC 믿음/NNG 이/JKS 당신/NP 을/JKO 스타/NNG (으)로/JKB 만들/VV ᄇ니다/EF ./SF
13,그런/MM 합의__01/NNG 와/JC 합심/NNG 이/JKS 저/NP 들/XSN 을/JKO 강국__01/NNG (으)로/JKB 만들/VV 었/EP 다/EF ./SF
14,이것/NP 이/JKS 넋두리/NNG (으)로/JKB 나타나/VV ᆫ다/EF ./SF
15,이런/MM 추세__03/NNG (으)로/JKB 언제/NP 까지/JX 인간__01/NNG 이/JKS 건강__03/NNG 하/XSA ᆯ/ETM 수__02/NNB 있/VV 을까/EF ./SF
16,반장__08/NNG 이/JKS 처음/NNG (으)로/JKB 말__01/NNG 을/JKO 거들__01/VV 었/EP 다/EF ./SF
17,공범/NNG 들/XSN 이/JKS 모두/MAG 가/XPN 석방/NNG (으)로/JKB 나오/VV 았/EP 어요/EF ./SF "/SS
18,휴전__03/NNG (으)로/JKB 끝/NNG 이/JKS 나/VV 고/EC 말/VX 았/EP 다/EF ./SF
19,예술/NNG 은/JX 예술/NNG 작품__01/NNG 자체__02/NNG 만/JX (으)로/JKB 는/JX 생명력/NNG 이/JKS 없/VA 다/EF ./SF
20,민속/NNG 씨름/NNG 이/JKS 사상__01/NNG 처음/NNG (으)로/JKB 유럽/NNP 지역__03/NNG 에서/JKB 선__01/NNG 을/JKO 보이__02/VV ᆫ다/EF ./SF
21,아이__01/NNG 들/XSN 의/JKG 함성__02/NNG (으)로/JKB 교실/NNG 이/JKS 들썩들썩/MAG 하/VV 리라/EF ./SF
22,명장__02/NNG (/SS 名將/SH )/SS 이/JKS 전쟁/NNG 을/JKO 승리/NNG (으)로/JKB 이끌/VV ᆫ다/EF ./SF
23,-/SS 안정환/NNP 이/JKS 선발__03/NNG (으)로/JKB 나오/VV 았/EP 는데/EF ?/SF
24,내/NP 가/JKS 악덕/NNG 기업주/NNG (으)로/JKB 소문__02/NNG 이/JKS 나/VV 아/EC 있/VX 다고/EF ?/SF
25,나/NP 는/JX 건성__01/NNG (으)로/JKB 대답/NNG 하/XSV ᆯ/ETM 수__02/NNB 밖에/JX 없/VA 었/EP 다/EF ./SF
26,죽음__01/NNG 이/JKS 그/NP 들/XSN 을/JKO 예술가/NNG (으)로/JKB 만들/VV ᆫ다/EF ./SF
27,고작/MAG 이런/MM 식__04/NNB (으)로/JKB 밖에/JX 시작__01/NNG 하/XSV ᆯ/ETM 수__02/NNB 없/VA 었/EP 을까/EF ./SF
