Number,Sentence
1,기업__01/NNG 에/JKB 대하__02/VV 믿음/NNG
2,콩/NNG 씨__01/NNG 에/JKB 잎/NNG 나오/VV
3,어머니/NNG 편지__02/NNG 에/JKB 말__01/NNG 없/VA
4,소설__03/NNG 에/JKB 주인공/NNG 나오/VV
5,문법__01/NNG 맞춤법/NNG 구두점/NNG 에/JKB 잘못/NNG 없/VA
6,아내__01/NNG 목소리/NNG 에/JKB 울음/NNG 섞이/VV
7,다리__01/NNG 에/JKB 금__02/NNG 가/VV
8,모성__01/NNG 에/JKB 대하__02/VV 자각__03/NNG
9,경제__04/NNG 에/JKB 기적__03/NNG 없/VA
10,그이/NP 에/JKB 대하__02/VV 최초/NNG 배신감/NNG
11,자기/NP 주장__03/NNG 에/JKB 대하__02/VV 자긍심/NNG
12,영화__01/NNG 에/JKB 대하__02/VV 뒤아멜/NNP 정의__05/NNG
13,그러나/MAJ 우리/NP 곧/MAG 푸들/NNG 에/JKB 싫증/NNG 나/VV
14,술잔/NNG 에/JKB 입술/NNG 쩍쩍__02/MAG 달라붙/VV 진양주/NNG
15,국어/NNG 에/JKB 대하__02/VV 충성심/NNG 곧/MAG 애국심/NNG
16,존재/NNG 에/JKB 대하__02/VV 혐오__02/NNG
17,나/NP 역시/MAG 최수진/NNP 마음__01/NNG 에/JKB 들__01/VV
18,맛__01/NNG 에/JKB 대하__02/VV 경쟁/NNG
19,채송화/NNG 꽃__01/NNG 에/JKB 꽃__01/NNG 피__01/VV 시작__01/NNG
20,하늘/NNG 세상사/NNG 에/JKB 관심__01/NNG 없/VA
21,봉선화/NNG 에/JKB 잎/NNG 나오/VV
22,한탄/NNG 것/NNB 실록/NNG 에/JKB 나오/VV
23,마침/MAG 옆/NNG 탁자__01/NNG 에/JKB 신문__10/NNG 놓이/VV
24,미스__03/NNG 김/NNP 주전자/NNG 에/JKB 물__01/NNG 없/VA
25,우상__04/NNG 에/JKB 대하__02/VV 동경__08/NNG
