Number,Sentence
1,넥타이/NNG 수제품/NNG (으)로/JKB 우리나라/NNG 하나/NR 없/VA
2,주장__03/NNG 나름/NNB 근거/NNG 갖추/VV
3,채__09/NNB (으)로/JKB 시간__04/NNG 흘러가/VV
4,만찬/NNG 시/NNB 반주__08/NNG (으)로/JKB 마주앙/NNG 나오/VV
5,아내__01/NNG 얼굴/NNG 절망__02/NNG (으)로/JKB 굳어지/VV
6,그러나/MAJ 어머니/NNG 교회__02/NNG 행__x07/NNG 그것/NP (으)로/JKB 끝/NNG 나/VV
7,사실__04/NNG 진정__05/NNG (으)로/JKB 나/NP 기쁘/VA
8,녀석/NNB 진짜/NNG (으)로/JKB 혼__02/NNG 나/VV
9,둘/NR 말없이/MAG 상태__01/NNG (으)로/JKB 한참/NNG 동안__01/NNG 앉/VV
10,처음/NNG (으)로/JKB 바깥/NNG 풍경__01/NNG 눈__01/NNG 들어오/VV
11,인간__01/NNG 갑작스레/MAG 앙골라/NNP 토끼/NNG (으)로/JKB 변하/VV 때문/NNB
12,정직__01/NNG 계산__01/NNG 믿음/NNG 당신/NP 스타/NNG (으)로/JKB 만들/VV
13,합의__01/NNG 합심/NNG 저/NP 강국__01/NNG (으)로/JKB 만들/VV
14,이것/NP 넋두리/NNG (으)로/JKB 나타나/VV
15,추세__03/NNG (으)로/JKB 언제/NP 인간__01/NNG 건강__03/NNG 수__02/NNB 있/VV
16,반장__08/NNG 처음/NNG (으)로/JKB 말__01/NNG 거들__01/VV
17,공범/NNG 모두/MAG 석방/NNG (으)로/JKB 나오/VV
18,휴전__03/NNG (으)로/JKB 끝/NNG 나/VV
19,예술/NNG 예술/NNG 작품__01/NNG 자체__02/NNG (으)로/JKB 생명력/NNG 없/VA
20,민속/NNG 씨름/NNG 사상__01/NNG 처음/NNG (으)로/JKB 유럽/NNP 지역__03/NNG 선__01/NNG 보이__02/VV
21,아이__01/NNG 함성__02/NNG (으)로/JKB 교실/NNG 들썩들썩/MAG 하/VV
22,명장__02/NNG 전쟁/NNG 승리/NNG (으)로/JKB 이끌/VV
23,안정환/NNP 선발__03/NNG (으)로/JKB 나오/VV
