Number,Sentence
1,기업__01/NNG 에/JKB 대하__02/VV ᆫ/ETM 믿음/NNG ?/SF
2,콩/NNG 씨__01/NNG 에/JKB 잎/NNG 이/JKS 나오/VV 았/EP 습니다/EF ./SF
3,어머니/NNG 의/JKG 편지__02/NNG 에/JKB 그런/MM 말__01/NNG 이/JKS 없/VA 었/EP 던가/EF ?/SF
4,소설__03/NNG 에/JKB 는/JX 주인공/NNG 이/JKS 나오/VV ᆫ다/EF ./SF
5,문법__01/NNG ·/SP 맞춤법/NNG ·/SP 구두점/NNG 에/JKB 잘못/NNG 이/JKS 없/VA 는가/EF ?/SF
6,아내__01/NNG 의/JKG 목소리/NNG 에/JKB 도/JX 울음/NNG 이/JKS 섞이/VV 었/EP 다/EF ./SF
7,다리__01/NNG 에/JKB 금__02/NNG 이/JKS 가/VV 았/EP 어요/EF ./SF
8,모성__01/NNG 에/JKB 대하__02/VV ᆫ/ETM 자각__03/NNG 이/VCP 었/EP 을까/EF ?/SF
9,경제__04/NNG 에/JKB 는/JX 기적__03/NNG 이/JKS 없/VA 다/EF ./SF
10,그이/NP 에/JKB 대하__02/VV ᆫ/ETM 최초/NNG 의/JKG 배신감/NNG 이/VCP 었/EP 으니까/EF ./SF
11,자기/NP 주장__03/NNG 에/JKB 대하__02/VV ᆫ/ETM 자긍심/NNG ./SF
12,영화__01/NNG 에/JKB 대하__02/VV ᆫ/ETM 뒤아멜/NNP 의/JKG 정의__05/NNG 이/VCP 다/EF ./SF
13,그러나/MAJ 우리/NP 는/JX 곧/MAG 푸들/NNG 에/JKB 싫증/NNG 이/JKS 나/VV 았/EP 다/EF ./SF
14,술잔/NNG 에/JKB 입술/NNG 이/JKS 쩍쩍__02/MAG 달라붙/VV 는/ETM 진양주/NNG ./SF
15,국어/NNG 에/JKB 대하__02/VV ᆫ/ETM 충성심/NNG 이/JKS 곧/MAG 애국심/NNG 이/VCP 다/EF ./SF
16,존재/NNG 에/JKB 대하__02/VV ᆫ/ETM 지극/XR 하/XSA ᆫ/ETM 혐오__02/NNG ./SF
17,나/NP 역시/MAG 최수진/NNP 이/JKS 마음__01/NNG 에/JKB 들__01/VV 지/EC 않/VX 았/EP 다/EF ./SF
18,맛__01/NNG 에/JKB 대하__02/VV ᆫ/ETM 경쟁/NNG 이/VCP 었/EP 다/EF ./SF
19,채송화/NNG 꽃__01/NNG 에/JKB 꽃__01/NNG 이/JKS 피__01/VV 기/ETN 시작__01/NNG 하/XSV 았/EP 습니다/EF ./SF
20,하늘/NNG 은/JX 세상사/NNG 에/JKB 관심__01/NNG 이/JKS 없/VA 다/EF ./SF
21,봉선화/NNG 에/JKB 잎/NNG 이/JKS 나오/VV 았/EP 습니다/EF ./SF
22,한탄/NNG 하/XSV 는/ETM 것/NNB 이/JKS 실록/NNG 에/JKB 나오/VV ᄇ니다/EF ./SF
