Number,Sentence
1,그러나/MAJ 이것/NP 만/JX (으)로/JKB 는/JX 아무/MM 소용__07/NNG 이/JKS 없/VA 다/EF ./SF
2,구체__02/NNG 적/XSN (으)로/JKB 는/JX 기억/NNG 이/JKS 안/MAG 나/VV ᆫ다/EF ./SF
3,지구__04/NNG 관측/NNG 위성__06/NNG 은/JX 세/MM 번/NNB 째/XSN (으)로/JKB 비중/NNG 이/JKS 높/VA 은/ETM 인공위성/NNG ./SF
4,그것/NP 이/JKS 대학__01/NNG 노트/NNG (으)로/JKB 다섯/NR 권/NNB 이나/JX 되__01/VV 었/EP 다/EC
5,그러나/MAJ 산책/NNG 정도__11/NNG (으)로/JKB 체중/NNG 이/JKS 줄/VV 는/ETM 것/NNB ᆫ/JX 아니/VCN 었/EP 다/EF ./SF
6,"/SS 나/NP 는/JX 개인__02/NNG 적/XSN (으)로/JKB 욕심/NNG 이/JKS 없/VA 다/EF ./SF
7,하나님/NNP 의/JKG 은총/NNG (으)로/JKB 만/JX 그것/NP 이/JKS 가능/XR 하/XSA ᄆ/ETN 을/JKO 내세우/VV ᆫ다/EF ./SF
8,특히/MAG 한강/NNP 이남__02/NNG 지역__03/NNG 이/JKS 5/SN %/SW 대/XSN (으)로/JKB 가장__01/MAG 높/VA 았/EP 다/EF ./SF
9,육성회/NNG 는/JX 동아리__02/NNG 들/XSN 이/JKS 자체__02/NNG 적/XSN (으)로/JKB 신입__03/NNG 회원/NNG 을/JKO 뽑/VV 는다/EF ./SF
10,그/MM 뒤__01/NNG (으)로/JKB 나/NP 는/JX 그/NP 를/JKO 다시/MAG 보__01/VV 지/EC 못하/VX 았/EP 다/EF ./SF
11,축사__04/NNG 에/JKB 는/JX 면장__02/NNG 이/JKS 첫/MM 번/NNB (으)로/JKB 올라가/VV 았/EP 다/EF ./SF
12,남__01/NNG 보__01/VV 기/ETN 가/JKS 미안__01/NNG 하/XSA ᆯ/ETM 정도__11/NNG (으)로/JKB 말__01/NNG 이/VCP 다/EF ./SF
13,그러나/MAJ 실제로/MAG 는/JX 다시/MAG 몇/MM 가지/NNB (으)로/JKB 세분__03/NNG 하/XSV ᆯ/ETM 수__02/NNB 있/VV 다/EF ./SF
14,그러나/MAJ 오십/NR 전__24/NNB 은/JX 또/MAG 마코/NNG 값/NNG (으)로/JKB 다/MAG 나가/VV 았/EP 다/EF ./SF
15,1789/SN 보호__01/NNG 기간__07/NNG 은/JX 어느/MM 정도__11/NNG (으)로/JKB 정하__03/VV 아야/EC 하/VX 는가/EF ./SF
16,이__05/MM 정도__11/NNG (으)로/JKB 작별/NNG 인사__02/NNG 는/JX 하/VV ᆫ/ETM 셈/NNB 이/VCP 었/EP 다/EF ./SF
17,한/MM 시간__04/NNG 연습__03/NNG 이/JKS 두/MM 시간__04/NNG ,/SP 세/MM 시간__04/NNG (으)로/JKB 늘어나/VV 았/EP 다/EF ./SF
18,12/SN 일/NNB (으)로/JKB 지구촌/NNG 인구__01/NNG 가/JKS 60/SN 억/NR 시대__02/NNG 에/JKB 접어들/VV 었/EP 다/EF ./SF
19,</SS 부모__01/NNG 다음__01/NNG (으)로/JKB 생각나/VV 는/ETM 것/NNB 이/JKS 고향__02/NNG 이/VCP ᄇ니다/EF ./SF
20,한편/NNG 일본/NNP 의/JKG 경우__03/NNG 는/JX 지방__05/NNG 단위__02/NNG (으)로/JKB 이루어지/VV ᆫ다/EF ./SF
21,킬트/NNG 는/JX 무릎/NNG 의/JKG 중앙/NNG 아래__01/NNG (으)로/JKB 는/JX 절대/MAG 입/VV 지/EC 않/VX 는다/EF ./SF
22,나/NP 는/JX 그날/NNG 밤__01/NNG (으)로/JKB 공사장/NNG 을/JKO 떠나/VV 았/EP 다/EF ./SF
23,비거리/NNG 115/SN ｍ/SW (으)로/JKB 오른쪽/NNG 담장__01/NNG 을/JKO 넘어가__01/VV 아/EC 2/SN -/SS 0/SN ./SF
24,25/SN 퍼센트/NNG 의/JKG 순__x18/NNG (으)로/JKB 나타나/VV 았/EP 다/EF ./SF
25,앞/NNG (으)로/JKB 남/VV 은/ETM 시간__04/NNG 은/JX 20/SN 분__08/NNB ./SF
26,그/NP 는/JX 78/SN 세/NNB 의/JKG 나이__01/NNG (으)로/JKB 열반/NNG 에/JKB 들__01/VV 었/EP 다/EF ./SF
27,다만/MAG 공간__05/NNG 적/XSN (으)로/JKB 확산/NNG 되/XSV 어/EC 보이__01/VV ᆯ/ETM 뿐/NNB 이/VCP 라고/EF ./SF
28,그/NP 가/JKS 세/MM 번/NNB 째/XSN (으)로/JKB 속삭이/VV 었/EP 다/EF ./SF
29,이것/NP 은/JX 몇/MM 가지/NNB (으)로/JKB 생각__01/NNG 하/XSV 아/EC 보/VX ᆯ/ETM 수__02/NNB 있/VV 다/EF ./SF
30,벌써/MAG 몇/MM 번/NNB 째/XSN (으)로/JKB 하/VV 는/ETM 작업__01/NNG 이/VCP 었/EP 다/EF ./SF
31,이것/NP 이/JKS 처벌/NNG (으)로/JKB 범죄/NNG 를/JKO 없애/VV 는/ETM 방법/NNG 이/VCP 다/EF ./SF "/SS 라고/JKQ
32,그/MM 후__07/NNG (으)로/JKB 도/JX 낙태/NNG 를/JKO 세/MM 번/NNB 을/JKO 더/MAG 하/VV 았/EP 어요/EF ./SF
33,서울/NNP 에서/JKB 의/JKG 초연__02/NNG 마지막/NNG 날__01/NNG 이/JKS 내일/NNG (으)로/JKB 다가오/VV 았/EP 다/EF ./SF
34,앞/NNG (으)로/JKB 잘/MAG 크/VV ᆯ/ETM 것/NNB 이/VCP 다/EF ./SF
35,그래서/MAJ 진상__03/NNG 조사단/NNG 구성__07/NNG 인원/NNG 도/JX 근/MM 스무/MM 명/NNB (으)로/JKB 엮/VV 었/EP 지요/EF ./SF
