Number,Sentence
1,"/SS 집__01/NNG 들/XSN 이/JKS 다/MAG 어디/NP (으)로/JKB 가/VV 았/EP 나요/EF ?/SF "/SS
2,바로/MAG 앞/NNG (으)로/JKB 소달구지/NNG 바퀴__01/NNG 자국__01/NNG 이/JKS 나/VV 아/EC 있/VX 습니다/EF ./SF
3,유지/NNP 의/JKG 얼굴/NNG 이/JKS 다시/MAG 용마루/NNG 위__01/NNG (으)로/JKB 나타나/VV 았/EP 다/EF ./SF
4,산들산들/MAG 가지__01/NNG 사이__01/NNG (으)로/JKB 바람__01/NNG 이/JKS 지나가/VV 았/EP 습니다/EF ./SF
5,두/MM 손__01/NNG 이/JKS 뒤__01/NNG (으)로/JKB 가/VV 아/EC 있/VX 었/EP 다/EF ./SF
6,석양__01/NNG 이/JKS 정면__01/NNG (으)로/JKB 촌부__03/NNG 의/JKG 눈앞/NNG 을/JKO 가로막/VV 았/EP 다/EF ./SF
7,중국/NNP 이/JKS 원산지/NNG (으)로/JKB 따뜻/XR 하/XSA ᆫ/ETM 지방__05/NNG 에서/JKB 자라__01/VV ᆫ다/EF ./SF
8,쇠창/NNG 밖/NNG (으)로/JKB 눈__04/NNG 이/JKS 펑펑__03/MAG 내리/VV 고/EC 있/VX 었/EP 다/EF ./SF
9,잔잔/XR 하/XSA ᆫ/ETM 물결/NNG 위__01/NNG (으)로/JKB 요트/NNG 들/XSN 이/JKS 한가로이/MAG 지나가/VV ᆫ다/EF ./SF
10,붉은색/NNG 복도__04/NNG 카펫/NNG 위__01/NNG (으)로/JKB 물__01/NNG 이/JKS 괴__01/VV 어/EC 있/VX 었/EP 다/EF ./SF
11,무대__06/NNG 위__01/NNG (으)로/JKB 무수/XR 하/XSA ᆫ/ETM 꽃송이__01/NNG 들/XSN 이/JKS 날아오르/VV ᆫ다/EF ./SF
12,오른쪽/NNG 차창/NNG 밖/NNG (으)로/JKB 는/JX 끝없이/MAG 이어지/VV 는/ETM 바다/NNG 이/VCP 었/EP 다/EF ./SF
13,철장__04/NNG 사이__01/NNG (으)로/JKB 쳐다보/VV 아야/EC 하/VX 는/ETM 형제__01/NNG 들/XSN 의/JKG 아픔/NNG !/SF
14,대한극장/NNP 옆/NNG 다방__02/NNG 에서/JKB 만나/VV 기/ETN (으)로/JKB 하/VX 았/EP 던/ETM 것/NNB 이/VCP 다/EF ./SF
15,그분/NP 이/JKS 나/NP 를/JKO 문예반/NNG (으)로/JKB 끌어들이/VV 었/EP 다/EF ./SF
