Number,Sentence
1,아저씨/NNG 눈물__01/NNG 이/JKS 달빛/NNG 에/JKB 방울방울/NNG 보이__01/VV 었/EP 습니다/EF ./SF
2,초겨울/NNG 이/JKS 바람__01/NNG 에/JKB 날리__01/VV 고/EC 있/VX 었/EP 다/EF ./SF
3,손등__01/NNG 이/JKS 가시__01/NNG 에/JKB 긁히/VV 어/EC 나가/VX 았/EP 다/EF ./SF
4,밑실/NNG 이/JKS 반달__01/NNG 에/JKB 감기__02/VV 었/EP 을/ETM 때__01/NNG 2/SN ./SF
5,사람/NNG 들/XSN 이/JKS 들것/NNG 에/JKB 부인__04/NNG 을/JKO 싣/VV 었/EP 다/EF ./SF
6,그/NP 의/JKG 품__01/NNG 에/JKB 안기__01/VV ᆫ/ETM 채__09/NNB 로/JKB ./SF
7,그러나/MAJ 적막__01/NNG 에/JKB 서리__01/VV ᆫ/ETM 저/MM 고뇌/NNG ./SF
8,황산/NNG ,/SP 질산/NNG ,/SP 수산화칼륨/NNG 에/JKB 녹/VV 는다/EF ./SF
9,말__05/NNG 에/JKB 짓밟히/VV ᆫ/ETM 부상__05/NNG 때문/NNB 이/JKC 아니/VCN 었/EP 다/EF ./SF
10,입김/NNG 에/JKB 도/JX 모빌/NNG 은/JX 제법/MAG 움직이/VV 었/EP 다/EF ./SF
11,나/NP 도/JX 뭐/NP 에/JKB 씌__01/VV 었/EP 지/EF ./SF
12,"/SS 아니/IC ,/SP 랍스터/NNG 에/JKB 찔리/VV 었/EP 어/EF ./SF "/SS
13,그/NP 는/JX 망연자실/NNG ,/SP 도깨비/NNG 에/JKB 홀리/VV ᆫ/ETM 듯/NNB ./SF
14,등__05/NNB 은/JX 금세/MAG 땀__01/NNG 에/JKB 젖__01/VV 는다/EF ./SF
15,플루오르화수소/NNG 에/JKB 의하/VV 아/EC 분해/NNG 되/XSV ᆫ다/EF ./SF
16,그/NP 의/JKG 뒷모습/NNG 은/JX 금방/MAG 어둠/NNG 에/JKB 묻히__02/VV 었/EP 다/EF ./SF
17,"/SS 서쪽/NNG 바다/NNG 가/JKS 비__01/NNG 에/JKB 젖__01/VV 고/EC 있/VX 대/EF ./SF "/SS
18,불빛/NNG 에/JKB 살펴보/VV 니/EC 태봉/NNP 이/VCP 었/EP 다/EF ./SF
19,제선왕/NNP 도/JX 맹자/NNP 의/JKG 말__01/NNG 에/JKB 말려들/VV 었/EP 습니다/EF ./SF
20,▼/SW 베일/NNG 에/JKB 쌓이/VV ᆫ/ETM 바이롬사/NNP ▼/SW
21,온몸/NNG 이/JKS 금세/MAG 비__01/NNG 에/JKB 젖__01/VV 었/EP 다/EF ./SF
22,"/SS 채석장/NNG 서/JKB 일__01/NNG 허/XSV 다/EC 돌__02/NNG 에/JKB 짓찌/VV 어습니다/EF ./SF "/SS
23,덫/NNG 에/JKB 앞발/NNG 을/JKO 찧기/VV ᆫ/ETM 것/NNB 이/VCP 었/EP 다/EF ./SF
24,번데기__01/NNG 들/XSN 이/JKS 핏물/NNG 에/JKB 잠기__02/VV 고/EC 있/VX 었/EP 다/EF ./SF
25,"/SS 그럼/MAJ 불__01/NNG 에/JKB 태우__01/VV 어/EC 버리/VX ᆯ까/EF ?/SF "/SS
26,주위__02/NNG 는/JX 완전히/MAG 어둠/NNG 에/JKB 묻히__02/VV 었/EP 다/EF ./SF
27,현대/NNG 사회__07/NNG 는/JX 공해__01/NNG 와/JC 스트레스/NNG 에/JKB 휩싸이/VV 어/EC 있/VX 다/EF ./SF
28,비누/NNG 방울__01/NNG 에/JKB 반사__01/NNG 되/XSV 어/EC 무지개/NNG 를/JKO 만들/VV 던/ETM 햇살/NNG ./SF
29,이/NP 들/XSN 은/JX 모두/MAG 투표__01/NNG 에/JKB 의하/VV 아/EC 선출__02/NNG 되/XSV ᆫ다/EF ./SF
30,양념장/NNG 에/JKB 무치/VV ᆫ다/EF ./SF
31,감자__01/NNG 감자__01/NNG 도/JX 신문지/NNG 에/JKB 싸__01/VV 아서/EC 보관__01/NNG ./SF
32,바람__01/NNG 에/JKB 찢기__01/VV 어/EC
33,나/NP 는/JX 초대장/NNG 의/JKG 명령__01/NNG 에/JKB 휘둘리/VV 고/EC 있/VX 었/EP 다/EF ./SF
34,그런/MM 책__01/NNG 다/MAG 불__01/NNG 에/JKB 태우__01/VV 어/EC 버리/VX 어라/EF ./SF
35,"/SS 미국/NNP 의/JKG 대통령/NNG 케네디/NNP 가/JKS 총__03/NNG 에/JKB 맞__03/VV 았/EP 습니다/EF ./SF
36,그러면/MAJ 바퀴__01/NNG 에/JKB 콱/MAG 치이__03/VV 고/EC 말/VX 지/EF ./SF
37,먹구름/NNG 에/JKB 싸이__01/VV ᆫ/ETM 물욕__02/NNG 의/JKG 폐허__02/NNG ./SF
38,손__01/NNG 에/JKB 붙잡히/VV 기/ETN 도/JX 하/VX ᆫ다/EF ./SF
39,이__05/MM 장면__04/NNG 이/JKS 카메라/NNG 에/JKB 잡히__02/VV 었/EP 다/EF ./SF
40,"/SS 개__03/NNG 가/JKS 덫/NNG 에/JKB 찡기/VV 었/EP 다/EF ./SF "/SS
41,그녀/NP 는/JX 가슴__01/NNG 이/JKS 바늘/NNG 에/JKB 찔리/VV 는/ETM 느낌/NNG 이/VCP 다/EF ./SF
42,"/SS 밤새__02/NNG 당신/NP 꿈__01/NNG 에/JKB 시달리/VV 었/EP 어요/EF ./SF
43,나/NP 의/JKG 총__03/NNG 에/JKB 맞__03/VV 은/ETM 거/NNB 이/VCP 야/EF ./SF 」/SS
44,새롬이/NNP 는/JX 산딸기/NNG 를/JKO 풀__02/NNG 줄기__01/NNG 에/JKB 꿰/VV 었/EP 습니다/EF ./SF
45,그것/NP ᆫ/JX 벌써/MAG 땀__01/NNG 에/JKB 젖__01/VV 어/EC 있/VX 었/EP 다/EF ./SF
46,그것/NP 들/XSN 을/JKO 보자기__02/NNG 에/JKB 싸__01/VV 았/EP 다/EF ./SF
47,양초__01/NNG 에/JKB 불__01/NNG 을/JKO 붙이/VV ᆫ다/EF ./SF
48,"/SS 칼__01/NNG 에/JKB 베__02/VV 었/EP 어/EF ?/SF "/SS
49,그녀/NP 는/JX 그런/MM 맛__01/NNG 에/JKB 살__01/VV ᆫ다/EF ./SF
50,바람결/NNG 에/JKB 꽃향내/NNG 가/JKS 날아오/VV 았/EP 다/EF ./SF
51,낙엽/NNG 이/JKS 불길/NNG 에/JKB 사그러들/VV 는/ETM 냄새/NNG 때문/NNB 이/VCP ᆯ까/EF ?/SF
52,대신__03/NNG 러이/NNP 도/JX 징__02/NNG 을/JKO 손__01/NNG 에/JKB 잡__01/VV 았/EP 다/EF ./SF
53,헛/XPN 발__01/NNG 질/XSN 때문/NNB 에/JKB 지우__01/VV 어/EC 지/VX 는/ETM 출발선/NNG ./SF
54,그리고/MAJ 금속__01/NNG 버클/NNG 부분__01/NNG 을/JKO 오른손/NNG 에/JKB 힘껏/MAG 쥐__01/VV 었/EP 습니다/EF ./SF
55,비닐/NNG 봉투__02/NNG 나/JC 지퍼백/NNG 등__05/NNB 에/JKB 넣/VV 어/EC 냉동/NNG 하/XSV ᆫ다/EF ./SF
