Number,Sentence
1,그러나/MAJ 이것/NP (으)로/JKB 소용__07/NNG 없/VA
2,구체__02/NNG (으)로/JKB 기억/NNG 안/MAG 나/VV
3,지구__04/NNG 관측/NNG 위성__06/NNG 번/NNB (으)로/JKB 비중/NNG 높/VA 인공위성/NNG
4,그것/NP 대학__01/NNG 노트/NNG (으)로/JKB 다섯/NR 권/NNB 되__01/VV
5,그러나/MAJ 산책/NNG 정도__11/NNG (으)로/JKB 체중/NNG 줄/VV 것/NNB
6,나/NP 개인__02/NNG (으)로/JKB 욕심/NNG 없/VA
7,하나님/NNP 은총/NNG (으)로/JKB 그것/NP 내세우/VV
8,특히/MAG 한강/NNP 이남__02/NNG 지역__03/NNG (으)로/JKB 가장__01/MAG 높/VA
9,육성회/NNG 동아리__02/NNG 자체__02/NNG (으)로/JKB 신입__03/NNG 회원/NNG 뽑/VV
10,뒤__01/NNG (으)로/JKB 나/NP 그/NP 다시/MAG 보__01/VV
11,축사__04/NNG 면장__02/NNG 번/NNB (으)로/JKB 올라가/VV
12,남__01/NNG 보__01/VV 미안__01/NNG 정도__11/NNG (으)로/JKB 말__01/NNG
13,그러나/MAJ 실제로/MAG 다시/MAG 가지/NNB (으)로/JKB 세분__03/NNG 수__02/NNB 있/VV
14,그러나/MAJ 오십/NR 전__24/NNB 또/MAG 마코/NNG 값/NNG (으)로/JKB 다/MAG 나가/VV
15,보호__01/NNG 기간__07/NNG 정도__11/NNG (으)로/JKB 정하__03/VV
16,정도__11/NNG (으)로/JKB 작별/NNG 인사__02/NNG 하/VV 셈/NNB
17,시간__04/NNG 연습__03/NNG 시간__04/NNG 시간__04/NNG (으)로/JKB 늘어나/VV
18,일/NNB (으)로/JKB 지구촌/NNG 인구__01/NNG 억/NR 시대__02/NNG 접어들/VV
19,부모__01/NNG 다음__01/NNG (으)로/JKB 생각나/VV 것/NNB 고향__02/NNG
20,한편/NNG 일본/NNP 경우__03/NNG 지방__05/NNG 단위__02/NNG (으)로/JKB 이루어지/VV
21,킬트/NNG 무릎/NNG 중앙/NNG 아래__01/NNG (으)로/JKB 절대/MAG 입/VV
22,나/NP 그날/NNG 밤__01/NNG (으)로/JKB 공사장/NNG 떠나/VV
23,비거리/NNG (으)로/JKB 오른쪽/NNG 담장__01/NNG 넘어가__01/VV
24,퍼센트/NNG 순__x18/NNG (으)로/JKB 나타나/VV
25,앞/NNG (으)로/JKB 남/VV 시간__04/NNG 분__08/NNB
26,그/NP 세/NNB 나이__01/NNG (으)로/JKB 열반/NNG 들__01/VV
27,다만/MAG 공간__05/NNG (으)로/JKB 확산/NNG 보이__01/VV 뿐/NNB
28,그/NP 번/NNB (으)로/JKB 속삭이/VV
29,이것/NP 가지/NNB (으)로/JKB 생각__01/NNG 수__02/NNB 있/VV
30,벌써/MAG 번/NNB (으)로/JKB 하/VV 작업__01/NNG
31,이것/NP 처벌/NNG (으)로/JKB 범죄/NNG 없애/VV 방법/NNG
32,후__07/NNG (으)로/JKB 낙태/NNG 번/NNB 더/MAG 하/VV
33,서울/NNP 초연__02/NNG 마지막/NNG 날__01/NNG 내일/NNG (으)로/JKB 다가오/VV
34,앞/NNG (으)로/JKB 잘/MAG 크/VV 것/NNB
