Number,Sentence
1,그때/NNG 저편/NP 에서/JKB 회중전등/NNG 이/JKS 번쩍__01/MAG 하/XSV 고/EC 이리로/MAG 오/VV 았/EP 다/EF ./SF
2,마술__02/NNG 가방__01/NNG 에서/JKB 이번__01/NNG 에/JKB 는/JX 티셔츠/NNG 와/JC 수건/NNG 이/JKS 나오/VV 았/EP 다/EF ./SF
3,그것/NP 이/JKS 가슴벽/NNG 과/JC 등줄기/NNG 와/JC 머리__01/NNG 끝/NNG 에서/JKB 전율__02/NNG 로/JKB 변하/VV 았/EP 다/EF ./SF
4,중앙당/NNG 에서/JKB 나오/VV 았/EP 습니다/EF ./SF
5,진화__05/NNG 의/JKG 성질/NNG 이/JKS 양__20/NNG 적/XSN 변화/NNG 에서/JKB 질__08/NNG 적/XSN 변화/NNG 로/JKB 변하/VV 았/EP 다/EF ./SF
6,드디어/MAG 대장__04/NNG 새__03/NNG 의/JKG 입/NNG 에서/JKB 명령__01/NNG 이/JKS 떨어지/VV 었/EP 습니다/EF ./SF
7,어떤/MM 사람/NNG 이/JKS 호텔/NNG 에서/JKB 떨어지/VV 었/EP 다/EF ./SF
8,작가__01/NNG 선생__01/NNG 님/XSN 이/JKS 의자__03/NNG 에서/JKB 일어서/VV 었/EP 다/EF ./SF
9,머리__01/NNG 에서/JKB 도/JX 물방울/NNG 이/JKS 뚝뚝__01/MAG 떨어지/VV 었/EP 다/EF ./SF
10,호길/NNP 의/JKG 코__01/NNG 에서/JKB 는/JX 모락모락/MAG 김__01/NNG 이/JKS 솟아나/VV 았/EP 다/EF ./SF
11,안도__02/NNG 의/JKG 한숨__02/NNG 이/JKS 그녀/NP 의/JKG 입/NNG 에서/JKB 흘러나오/VV 았/EP 다/EF ./SF
12,그때/NNG 윤재홍/NNP 이/JKS 사장실/NNG 에서/JKB 나오/VV 았/EP 다/EF ./SF
13,바람__01/NNG 이/JKS 서북쪽/NNG 에서/JKB 불어오/VV 고/EC 있/VX 었/EP 다/EF ./SF
14,그때/NNG 그/NP 의/JKG 눈__01/NNG 에서/JKB 는/JX 눈물__01/NNG 이/JKS 술술/MAG 흘러내리/VV 었/EP 다/EF ./SF
15,영숙/NNP 이/JKS 자리__01/NNG 에서/JKB 일어서/VV 었/EP 다/EF ./SF
16,화장실/NNG 바닥__01/NNG 배수구__01/NNG 에서/JKB 도/JX 물__01/NNG 이/JKS 다시/MAG 올라오/VV 고/EC 있/VX 었/EP 다/EF ./SF
17,온몸/NNG 에서/JKB 기운__01/NNG 이/JKS 쭉/MAG 빠져나가/VV 았/EP 다/EF ./SF
18,개__03/NNG 팔자__01/NNG 가/JKS 상팔자/NNG 이/VCP 라는/ETM 속담/NNG 이/JKS 갑자기/MAG 그/NP 의/JKG 머릿속/NNG 에서/JKB 튀어나오/VV 았/EP 다/EF ./SF
19,식은땀/NNG 이/JKS 온몸/NNG 에서/JKB 축축이/MAG 흘러내리/VV 었/EP 다/EF ./SF
20,여기/NP 에서/JKB 문명병/NNG 文明病/SH 이/VCP 라는/ETM 하나/NR 의/JKG 괴상__04/NNG 하/XSA ᆫ/ETM 병__04/NNG 이/JKS 생겨나/VV ᆫ다/EF ./SF
21,그때/NNG 안__01/NNG 에서/JKB 덕호/NNP 의/JKG 음성__02/NNG 이/JKS 흘러나오/VV 았/EP 다/EF ./SF
22,두/MM 눈__01/NNG 에서/JKB 자꾸/MAG 만/JX 눈물__01/NNG 이/JKS 흘러내리/VV 었/EP 다/EF ./SF
23,낭떠러지/NNG 위__01/NNG 에서/JKB ᆫ/JX 그/MM 집__01/NNG 의/JKG 안마당/NNG 이/JKS 곧장/MAG 내려다보이/VV 었/EP 다/EF ./SF
24,동굴/NNG 안__01/NNG 에서/JKB 대답/NNG 대신__03/NNG 몇/MM 발__09/NNB 의/JKG 총성/NNG 이/JKS 튀어나오/VV 았/EP 다/EF ./SF
25,주름__01/NNG 사이사이/NNG 에서/JKB 생각__01/NNG 하/XSV 지/EC 도/JX 않/VX 았/EP 던/ETM 생각__01/NNG 들/XSN 이/JKS 튀어나오/VV 았/EP 다/EF ./SF
26,그녀/NP 의/JKG 발끝/NNG 이/JKS 바닥__01/NNG 에서/JKB 떨어지/VV 었/EP 다/EF ./SF
27,나/NP 의/JKG 입/NNG 에서/JKB 는/JX 거짓말/NNG 이/JKS 자연__01/NNG 스럽/XSA 게/EC 나오/VV 았/EP 다/EF ./SF
28,교장__03/NNG 의/JKG 입/NNG 에서/JKB 느닷없이/MAG 고함__01/NNG 이/JKS 터지/VV 었/EP 다/EF ./SF
29,그/MM 웃음/NNG 이/JKS 숲__01/NNG 속__01/NNG 에서/JKB 불어오/VV 는/ETM 바람__01/NNG 처럼/JKB 상큼/XR 하/XSA 기/ETN 만/JX 하/VX 다/EF ./SF
30,초소/NNG 에서/JKB 조명탄/NNG 이/JKS 다시/MAG 오르/VV 았/EP 다/EF ./SF
31,여자__02/NNG 의/JKG 입/NNG 에서/JKB 아주/MAG 익숙/XR 하/XSA ᆫ/ETM 한국말/NNG 이/JKS 튀어나오/VV 았/EP 다/EF ./SF
32,이러/XR 하/XSA ᆫ/ETM 자연미/NNG 의/JKG 결함__01/NNG 에서/JKB 예술미/NNG 의/JKG 필연__01/NNG 성/XSN 이/JKS 나오/VV ᆫ다/EF ./SF
33,그/MM 공터/NNG 끄트머리/NNG 에서/JKB 길__01/NNG 이/JKS 세/MM 갈래/NNG 로/JKB 뻗치/VV 어/EF ./SF
34,그녀/NP 의/JKG 눈__01/NNG 에서/JKB 눈물__01/NNG 이/JKS 흘러내리/VV 기/ETN 시작__01/NNG 하/XSV 았/EP 다/EF ./SF
